repo_lang,30% NCM,35% NCM,40% NCM,45% NCM,50% NCM,55% NCM,60% NCM,65% NCM,70% NCM
ts::TypeScript,18,15,12,9,6,,,,
ts::tabby,41,41,41,40,40,39,39,38,27
ts::vite,35,34,33,23,19,15,13,11,10
ts::vscode,45,38,34,29,26,21,18,16,13
ts::n8n,66,65,54,51,37,35,17,12,10
ts::hoppscotch,49,36,34,33,31,24,16,13,9
ts::puppeteer,48,31,30,29,28,25,14,11,9
ts::angular,20,17,14,12,10,8,6,4,
ts::nest,,,38,37,36,35,34,33,25
ts::core,6,7,8,10,,,,,
rs::sway,48,35,25,23,20,14,12,7,
rs::rustdesk,76,46,44,43,42,30,28,27,20
rs::fuel-core,60,57,55,55,54,29,27,21,18
rs::rust,31,26,22,18,15,12,10,8,6
rs::deno,77,59,57,46,43,32,30,25,22
rs::tauri,66,64,53,25,22,21,18,4,
rs::zed,124,122,121,113,93,92,69,59,54
rs::alacritty,18,13,12,11,10,9,7,,
rs::union,79,65,64,62,39,38,37,36,22
rs::uv,12,9,8,7,5,4,,,
py::localstack,40,38,31,27,20,18,17,14,13
py::keras,60,50,48,47,26,14,12,11,9
py::transformers,45,43,36,28,11,7,5,,
py::core,6,7,8,10,,,,,
py::ComfyUI,65,40,39,36,33,23,19,16,14
py::scikit-learn,8,6,5,3,138,139,,,
py::ansible,13,11,8,6,4,,,,
py::fastapi,71,71,70,67,47,46,45,44,23
py::django,20,18,11,9,7,5,,,
py::stablediffusion,41,16,15,13,12,10,8,4,
java::beam,39,37,28,23,19,14,12,9,
java::spark,20,19,17,15,14,12,11,9,5
java::elasticsearch,54,50,38,34,30,23,19,15,12
java::spring-boot,,,,,,,,,25
java::kafka,36,30,25,23,18,16,13,11,8
java::hadoop,30,27,21,17,15,12,10,8,6
java::dubbo,,53,52,34,30,24,21,18,15
java::ignite,,,,,,,,,
java::cassandra,41,30,25,22,20,17,15,13,11
java::zeppelin,48,48,47,31,30,29,25,23,21
cpp::imgui,15,13,12,10,8,7,6,4,
cpp::tensorflow,28,24,21,18,15,13,11,9,7
cpp::terminal,20,12,10,8,6,4,,,
cpp::grpc,29,25,22,19,16,14,12,10,8
cpp::tesseract,5,,,,,,,,
cpp::godot,43,33,29,26,21,18,16,13,11
cpp::opencv,50,48,44,27,23,17,14,12,10
cpp::x64dbg,32,30,23,21,18,17,15,13,10
cpp::react-native,45,37,32,25,22,19,16,14,12
cpp::bitcoin,20,17,15,13,12,10,9,8,7
